run_id,exp,mode,repeat,ts,execs_done,paths_total,edges_found,bitmap_cvg
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372492,9124550,0,249,21.840000
p1_e1_cjson_baseline-afl_r01,e1,baseline-afl,r01,1779372552,18136373,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372432,188,0,169,14.820000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
p1_e1_cjson_baseline-afl_r02,e1,baseline-afl,r02,1779372492,9067323,0,249,21.840000
